match_type,wikidata_name,apify_name,wikidata_qid,wikidata_city,wikidata_country,apify_city,apify_country,apify_rating,distance_meters,wikidata_id,apify_id
location_only,"1 avenue Paul-Doumer","Benjamin Franklin Statue",Q113314795,"Paris","France","Paris","France",4.7,40,765d6ba6-ad5a-4913-af00-359e5438a741,26009be3-cc99-4b5f-9f6a-270fdc7762f7
exact_name,"1 Police Plaza","1 Police Plaza",Q4596012,"New York","United States","New York","United States",,80,5fb219cb-1f61-440a-bb01-64ec6787ec73,47509fcb-4490-4c2e-b29d-272dc367763c
similar_name,"10 Downing Street","10 Downing St",Q169101,"City of Westminster","United Kingdom","London","United Kingdom",,21,8ecb1fd0-1a65-4b5a-9c06-1b1531d47df2,d2263af1-7b09-4bb8-9964-55407a4b7f6c
location_only,"116 John Street","Wolf forest cafe",Q22329563,"New York","United States","New York","United States",4.7,40,0206bf07-07f2-4c31-9e42-8febbda604c4,3a606973-d98d-4623-85c1-7c96c8067b26
location_only,"1211 Avenue of the Americas","1221 6th Ave",Q2943880,"New York","United States","New York","United States",,125,33158400-8760-4d82-8b3a-95de8beeb6c2,3c63d34c-7342-41b2-9966-c50957c7a199
location_only,"122 East 23rd Street","Mishkin Gallery",Q40151610,"New York","United States","New York","United States",4.6,72,b8f38cf8-ca50-4590-a916-cabadbca1bf7,91eda3d9-d4a0-4269-b362-0ef8d03484e6
location_only,"122 Leadenhall Street","The Willis Building",Q2742547,"London","United Kingdom","London","United Kingdom",,131,d54107ab-e301-4bcf-bd88-20b9272cbb7b,56eb73dd-21bc-408b-b69f-8cbfb6af04d6
location_only,"1221 Avenue of the Americas","1221 6th Ave",Q172811,"New York","United States","New York","United States",,43,add3bccd-4082-4abe-8314-27146cbe1640,3c63d34c-7342-41b2-9966-c50957c7a199
location_only,"1270 Avenue of the Americas","Top of The Rock",Q101084958,"New York","United States","New York","United States",4.7,111,fb8e1da4-6a41-44a2-b6d2-01e1e8f6e8ee,10fac980-15be-4265-80cd-fca3238c23a0
location_only,"1717 East Ninth Building","Residences At 1717",Q4552487,"Cleveland","United States","Cleveland","United States",4.4,18,67207487-f8b5-438c-8966-103abbb98af1,93aee207-2ae5-45bd-990a-05b257ea717e
similar_name,"191 Peachtree Tower","Peachtree Tower",Q2746067,"Atlanta","United States","Atlanta","United States",,69,9ac334b5-1df6-4f47-8987-d72c45551e55,c5f70123-3c45-4a86-9199-aef3ad261bc8
similar_name,"2 World Trade Center","World Trade Center",Q1127212,"New York","United States","New York","United States",4.8,98,a5057d99-e806-4571-935b-20a62b02a89d,c2cff9c0-5eb4-4d48-a4a6-319c639d2ad6
location_only,"27 Wałowa Street in Gdańsk","Wałowa 27",Q112721886,"Gdańsk","Poland","Gdansk","Poland",,38,807f82af-38a1-4955-8b80-bf0edcf1e361,72a7e451-4b6a-49e2-a65c-5594ca5da784
location_only,"270 Park Avenue","JPMorgan Chase & Co.",Q1676687,"New York","United States","New York","United States",2.3,5,873ac5d0-0e72-454e-9fb2-9dc8f8e35db5,aaf65533-39fb-4611-b710-ec11e68ea73e
location_only,"3 Mickiewicza Street in Katowice","Adama Mickiewicza 7",Q9268837,"Katowice","Poland","Katowice","Poland",,92,a0f8b91a-c313-4f5d-84fb-a712ccdf0daf,cea93f9c-e2e5-481a-96b8-9c81d4127c0f
location_only,"3 World Trade Center","Lady M Cake Boutique - NY",Q941908,"New York","United States","New York","United States",3.9,81,7baa5a21-1c71-4ad6-a61f-dcc50f03b145,de7df0de-4214-4764-b926-ea07ee68b404
