wikidata_id,wikidata_name,wikidata_qid,wikidata_city,wikidata_country,apify_id,apify_name,apify_rating,apify_city,apify_country,apify_gpid,distance_meters
765d6ba6-ad5a-4913-af00-359e5438a741,"1 avenue Paul-Doumer",Q113314795,"Paris","France",26009be3-cc99-4b5f-9f6a-270fdc7762f7,"Benjamin Franklin Statue",4.7,"Paris","France",ChIJ8_aAj_xv5kcRvf7mec5lwYk,40
5fb219cb-1f61-440a-bb01-64ec6787ec73,"1 Police Plaza",Q4596012,"New York","United States",47509fcb-4490-4c2e-b29d-272dc367763c,"1 Police Plaza",,"New York","United States",ChIJtfkL6yNawokROaTqNx2GpC8,80
8ecb1fd0-1a65-4b5a-9c06-1b1531d47df2,"10 Downing Street",Q169101,"City of Westminster","United Kingdom",d2263af1-7b09-4bb8-9964-55407a4b7f6c,"10 Downing St",,"London","United Kingdom",ChIJx2E7b8UEdkgRtw6rLyLUl5w,21
0206bf07-07f2-4c31-9e42-8febbda604c4,"116 John Street",Q22329563,"New York","United States",3a606973-d98d-4623-85c1-7c96c8067b26,"Wolf forest cafe",4.7,"New York","United States",ChIJ_62bJz5bwokRO-Jh_xyhPNE,40
33158400-8760-4d82-8b3a-95de8beeb6c2,"1211 Avenue of the Americas",Q2943880,"New York","United States",3c63d34c-7342-41b2-9966-c50957c7a199,"1221 6th Ave",,"New York","United States",ChIJ_TxAx_hYwokRtkjhBwd2sCE,125
b8f38cf8-ca50-4590-a916-cabadbca1bf7,"122 East 23rd Street",Q40151610,"New York","United States",91eda3d9-d4a0-4269-b362-0ef8d03484e6,"Mishkin Gallery",4.6,"New York","United States",ChIJ_1EH8qBZwokRmuFboQW9Wnw,72
d54107ab-e301-4bcf-bd88-20b9272cbb7b,"122 Leadenhall Street",Q2742547,"London","United Kingdom",56eb73dd-21bc-408b-b69f-8cbfb6af04d6,"The Willis Building",,"London","United Kingdom",ChIJdXsJe00DdkgRF2pt74PKW7c,131
add3bccd-4082-4abe-8314-27146cbe1640,"1221 Avenue of the Americas",Q172811,"New York","United States",3c63d34c-7342-41b2-9966-c50957c7a199,"1221 6th Ave",,"New York","United States",ChIJ_TxAx_hYwokRtkjhBwd2sCE,43
fb8e1da4-6a41-44a2-b6d2-01e1e8f6e8ee,"1270 Avenue of the Americas",Q101084958,"New York","United States",10fac980-15be-4265-80cd-fca3238c23a0,"Top of The Rock",4.7,"New York","United States",ChIJe7vKMf9YwokRIMYfDz7iF9o,111
67207487-f8b5-438c-8966-103abbb98af1,"1717 East Ninth Building",Q4552487,"Cleveland","United States",93aee207-2ae5-45bd-990a-05b257ea717e,"Residences At 1717",4.4,"Cleveland","United States",ChIJpbXaWX76MIgRjqJbES_plHs,18
