name,latitude,longitude,description,city,country,address
'Minna no Mori' Gifu Media Cosmos,35.42744444,136.75994444,Wikidata: Q24861909,Nagoya,Japan,
"""Fluite"" building in Zelenograd",55.992401,37.217407,Wikidata: Q123059050,Zelenograd,Russia,
»Ziegelsteinhaus«,59.9477,10.5009,Wikidata: Q123118032,Bærum Municipality,Norway,
1 avenue Paul-Doumer,48.861651778,2.286046357,Wikidata: Q113314795,Paris,France,
1 Police Plaza,40.712202777,-74.001677777,Wikidata: Q4596012,New York,United States,
1/2 Baseina Street,50.442194444,30.522638888,Wikidata: Q73906306,Kyiv,Ukraine,
10 Downing Street,51.503333333,-0.127777777,Wikidata: Q169101,City of Westminster,United Kingdom,
10 Lafayette Square,42.89,-78.87,Wikidata: Q4546882,Buffalo,United States,
100 Eleventh Avenue,40.7461,-74.0078,Wikidata: Q16823802,New York City,United States,
100 North Main,35.1478,-90.0509,Wikidata: Q4546167,Memphis,United States,
101 California Street,37.792847,-122.397953,Wikidata: Q2536727,San Francisco,United States,
1095 Avenue of the Americas,40.7546,-73.9847,Wikidata: Q3286566,New York,United States,
11 West 54th Street,40.761611111,-73.976194444,Wikidata: Q106977642,New York,United States,
1101 New York Avenue,38.9003,-77.0275,Wikidata: Q4547248,"Washington, D.C.",United States,
111 West 57th Street,40.764888888,-73.9775,Wikidata: Q2631268,New York,United States,
1111 Lincoln Road,25.790728,-80.141042,Wikidata: Q170391,Miami Beach,United States,
116 John Street,40.70747,-74.00589,Wikidata: Q22329563,New York,United States,
1211 Avenue of the Americas,40.758611111,-73.982222222,Wikidata: Q2943880,New York,United States,
"122 Calle de Toledo, Madrid",40.405791666,-3.712419444,Wikidata: Q29529356,Madrid,Spain,
122 East 23rd Street,40.73935,-73.985493,Wikidata: Q40151610,New York,United States,
122 Leadenhall Street,51.5138,-0.0821,Wikidata: Q2742547,London,United Kingdom,
1221 Avenue of the Americas,40.759166666,-73.981666666,Wikidata: Q172811,New York,United States,
1270 Avenue of the Americas,40.760257467,-73.979836241,Wikidata: Q101084958,New York,United States,
1345 Avenue of the Americas,40.7631,-73.9788,Wikidata: Q3750408,New York,United States,
1411 Fourth Avenue Building,47.6094,-122.336,Wikidata: Q4549639,Seattle,United States,
1717 East Ninth Building,41.5021394,-81.6879576,Wikidata: Q4552487,Cleveland,United States,
1818 Market Street,39.953,-75.171,Wikidata: Q570717,Center City,United States,
190 St. George Street,43.6694,-79.4011,Wikidata: Q136222092,Toronto,Canada,
191 Peachtree Tower,33.7589,-84.3867,Wikidata: Q2746067,Atlanta,United States,
2 World Trade Center,40.712222222,-74.011111111,Wikidata: Q1127212,New York,United States,
21st Century Museum of Contemporary Art,36.5608,136.658,Wikidata: Q3242206,Hirosaka,Japan,
22 Bishopsgate,51.5145,-0.0829,Wikidata: Q18602,London,United Kingdom,
220 Central Park South,40.7671,-73.9802,Wikidata: Q15781036,Midtown Manhattan,United States,
23 Marina,25.089806,55.150611,Wikidata: Q216264,Dubai,United Arab Emirates,
24 Sussex Drive,45.444348,-75.693934,Wikidata: Q217304,Ottawa,Canada,
27 Wałowa Street in Gdańsk,54.358687954,18.654087689,Wikidata: Q112721886,Gdańsk,Poland,
270 Park Avenue,40.755833333,-73.975555555,Wikidata: Q1676687,New York,United States,
275 Madison Avenue,40.7512,-73.98001,Wikidata: Q108098815,New York,United States,
3 Grafheuvels,52.16949,5.93519,Wikidata: Q17453333,Apeldoorn,Netherlands,
3 Mickiewicza Street in Katowice,50.2605,19.0209,Wikidata: Q9268837,Katowice,Poland,
3 World Trade Center,40.710923,-74.011608,Wikidata: Q941908,New York,United States,
30 Hudson Yards,40.753967,-74.00075,Wikidata: Q15264266,New York City,United States,
30 Rockefeller Plaza,40.75897222,-73.97938889,Wikidata: Q680614,New York,United States,
330 West 42nd Street,40.757222,-73.991111,Wikidata: Q3303658,New York,United States,
333 North Michigan,41.888,-87.6242,Wikidata: Q2816206,Chicago,United States,
333 South Wabash,41.877416666,-87.625638888,Wikidata: Q961346,Chicago,United States,
383 Madison Avenue,40.755555555,-73.976944444,Wikidata: Q228242,New York,United States,
4 grafheuvels,51.97409,5.7924,Wikidata: Q17441250,Renkum,Netherlands,
4 Grafheuvels,51.96811,5.7029,Wikidata: Q17454797,Wageningen,Netherlands,
4 World Trade Center,40.71062,-74.012125,Wikidata: Q2593897,New York City,United States,
4 World Trade Center,40.7104,-74.0119,Wikidata: Q1351208,New York,United States,
40 Wall Street,40.706944444,-74.009722222,Wikidata: Q218305,New York,United States,
425 Park Avenue,40.760542,-73.971157,Wikidata: Q2631826,New York,United States,
432 Park Avenue,40.761666666,-73.971944444,Wikidata: Q233940,New York,United States,
48 Wall Street,40.706388888,-74.009166666,Wikidata: Q630074,New York,United States,
51 Astor Place,40.73027778,-73.99027778,Wikidata: Q29469890,,United States,
520 West 28th Street,40.7512,-74.0027,Wikidata: Q29469309,New York,United States,
53W53,40.761666666,-73.978333333,Wikidata: Q2446907,New York,United States,
55 Timeless,25.033361111,121.596247222,Wikidata: Q85882694,Taipei,Taiwan,
55 Water Street,40.70306,-74.00925,Wikidata: Q244114,New York,United States,
550 Madison Avenue,40.761388888,-73.973333333,Wikidata: Q1477826,New York,United States,
56 Leonard Street,40.7177,-74.0064,Wikidata: Q244358,New York,United States,
580 California Street,37.7929,-122.404,Wikidata: Q2817725,San Francisco,United States,
60 Wall Street,40.70626,-74.0085,Wikidata: Q247887,New York,United States,
7 World Trade Center,40.7133,-74.012,Wikidata: Q270066,,,
70 Pine Street,40.706388888,-74.0075,Wikidata: Q262041,,,
70 St Mary Axe,51.515361111,-0.079333333,Wikidata: Q80201655,London,United Kingdom,
731 Lexington Avenue,40.761805555,-73.968,Wikidata: Q875078,Midtown Manhattan,United States,
8 Spruce Street,40.710922,-74.005686,Wikidata: Q274916,New York,United States,
860–880 Lake Shore Drive Apartments,41.898611,-87.618611,Wikidata: Q273155,Chicago,United States,
875 North Michigan Avenue,41.898889,-87.623056,Wikidata: Q217727,Chicago,United States,
88 Wood Street,51.5153,-0.095,Wikidata: Q4645063,London,United Kingdom,
90 Church Street,40.71271,-74.01064,Wikidata: Q4645629,New York,United States,
909 Walnut,39.1033,-94.5818,Wikidata: Q4645620,Kansas City,United States,
960 Fifth Avenue,40.775733,-73.964277,Wikidata: Q40151582,New York,United States,
A. E. Larson Building,46.6022,-120.504,Wikidata: Q14713581,Yakima,United States,
A.M.V.J. building,52.362944444,4.8795,Wikidata: Q21707612,Amsterdam,Netherlands,
Aachen Cathedral,50.77475,6.083922222,Wikidata: Q5908,Aachen-Mitte,Germany,
Aachen East Cemetery,50.7763,6.10717,Wikidata: Q2035472,Aachen,Germany,
Abbey Church of St. Anna,48.140221586,11.585904653,Wikidata: Q875536,Schwabing-Freimann,Germany,
ABC Serrano,40.432241666,-3.686880555,Wikidata: Q5817981,Salamanca,Spain,
Abel Tasmanschool,53.33121,6.9215,Wikidata: Q1919469,Eemsdelta,Netherlands,
Abeno Harukas,34.645947222,135.514266666,Wikidata: Q16318627,,,
Abney Park Cemetery,51.5649,-0.0781,Wikidata: Q124369,London Borough of Hackney,United Kingdom,
Abraj Al Bait,21.418888888,39.826388888,Wikidata: Q189476,Mecca,Saudi Arabia,
Abteiberg Museum,51.192778,6.433056,Wikidata: Q206346,Mönchengladbach,Germany,
Abu Rawash,30.032222222,31.074722222,Wikidata: Q335278,Kerdasa,Egypt,
Abulfazlil Abbas Mosque,40.651973335,47.738793829,Wikidata: Q110104543,Goychay,Azerbaijan,
Abusir,29.896111111,31.203611111,Wikidata: Q336098,Markaz al Badrashayn,Egypt,
Abydos,26.185167,31.918889,Wikidata: Q192268,Sohag Governorate,Egypt,
Academie Brochu,42.079444,-72.038056,Wikidata: Q4671318,Southbridge,United States,
Academiesingel lighthouse,51.593138888,4.778166666,Wikidata: Q42303960,Breda,Netherlands,
Achiet-le-Grand Communal Cemetery,50.1365,2.7756,Wikidata: Q2168563,Achiet-le-Grand,France,
Achiet-le-Petit Communal Cemetery,50.122252,2.756849,Wikidata: Q2289520,Achiet-le-Petit,France,
Ada Arts and Heritage Center,34.771053,-96.676472,Wikidata: Q346270,Ada,United States,
Adam P. Leighton House,43.651111,-70.276111,Wikidata: Q4679576,Portland,United States,
Adamson House,34.034444,-118.678333,Wikidata: Q4680503,Malibu,United States,
Adina Mosque,25.15255737,88.16423798,Wikidata: Q357320,West Bengal,India,
"Administration Building, Treasure Island",37.816944,-122.370278,Wikidata: Q4683413,San Francisco,United States,
