name,latitude,longitude,description,city,country,category,address,phone,website
A. E. Larson Building,46.6022,-120.504,,Yakima,United States,landmark,,,
A.M.V.J. building,52.362944444,4.8795,,Amsterdam,Netherlands,landmark,,,
Aachen Cathedral,50.77475,6.083922222,,Aachen-Mitte,Germany,church,,,
Aachen East Cemetery,50.7763,6.10717,,Aachen,Germany,cemetery,,,
Abbey Church of St. Anna,48.140221586,11.585904653,,Schwabing-Freimann,Germany,church,,,
ABC Serrano,40.432241666,-3.686880555,,Salamanca,Spain,landmark,,,
Abel Tasmanschool,53.33121,6.9215,,Eemsdelta,Netherlands,landmark,,,
Abeno Harukas,34.645947222,135.514266666,,,,landmark,,,
Abney Park Cemetery,51.5649,-0.0781,,London Borough of Hackney,United Kingdom,cemetery,,,
Abraj Al Bait,21.418888888,39.826388888,,Mecca,Saudi Arabia,landmark,,,
Abteiberg Museum,51.192778,6.433056,,Mönchengladbach,Germany,museum,,,
Abu Rawash,30.032222222,31.074722222,,Kerdasa,Egypt,cemetery,,,
Abulfazlil Abbas Mosque,40.651973335,47.738793829,,Goychay,Azerbaijan,temple,,,
Abusir,29.896111111,31.203611111,,Markaz al Badrashayn,Egypt,cemetery,,,
Abydos,26.185167,31.918889,,Sohag Governorate,Egypt,cemetery,,,
Academie Brochu,42.079444,-72.038056,,Southbridge,United States,landmark,,,
Academiesingel lighthouse,51.593138888,4.778166666,,Breda,Netherlands,landmark,,,
Academy of Fine Arts Vienna,48.201253,16.365103,,,,university,,,
Achiet-le-Grand Communal Cemetery,50.1365,2.7756,,Achiet-le-Grand,France,cemetery,,,
Achiet-le-Petit Communal Cemetery,50.122252,2.756849,,Achiet-le-Petit,France,cemetery,,,
Acropolis Museum,37.968417,23.728472,,Athens Municipality,Greece,museum,,,
Ada Arts and Heritage Center,34.771053,-96.676472,,Ada,United States,landmark,,,
Adam P. Leighton House,43.651111,-70.276111,,Portland,United States,landmark,,,
Adamson House,34.034444,-118.678333,,Malibu,United States,landmark,,,
Adina Mosque,25.15255737,88.16423798,,West Bengal,India,temple,,,
"Administration Building, Treasure Island",37.816944,-122.370278,,San Francisco,United States,landmark,,,
"Admiraal de Ruijterweg 148-152, Amsterdam",52.374138888,4.859027777,,Amsterdam,Netherlands,landmark,,,
Admiralty building in Saint Petersburg,59.937458333,30.30855,,Second Admiral Island,Russia,landmark,,,
Adolfo Alsina town hall,-37.180333,-62.761194,,Adolfo Alsina Partido,Argentina,landmark,,,
Adolfo Gonzales Chaves municipal market,-38.03375,-60.098417,,Adolfo Gonzales Chaves Partido,Argentina,landmark,,,
Adolfo Gonzales Chaves town hall,-38.032833,-60.098528,,Adolfo Gonzales Chaves Partido,Argentina,landmark,,,
African Burial Ground National Monument,40.714597,-74.004467,,New York,United States,cemetery,,,
African Cemetery No. 2,38.050139,-84.478056,,Lexington,United States,cemetery,,,
"Afrikahuis, Amsterdam",52.352889,4.897762,,Amsterdam,Netherlands,landmark,,,
Aga Khan Museum,43.725277777,-79.332222222,,Toronto,Canada,museum,,,
Agape Centro Ecumenico,44.892507,7.054158,,Prali,Italy,landmark,,,
Agecroft Cemetery,53.5098,-2.29431,,Pendlebury,United Kingdom,cemetery,,,
Agen Cathedral,44.20666667,0.61916667,,Agen,France,church,,,
Agenville Churchyard,50.164908,2.099312,,Agenville,France,cemetery,,,
Aghdam Mosque,39.993333333,46.931666666,,Aghdam District,Azerbaijan,temple,,,
Agnez-les-Duisans Communal Cemetery,50.30444,2.660086,,Agnez-lès-Duisans,France,cemetery,,,
Agricultural Engineering Building,43.074803,-89.410606,,Madison,United States,landmark,,,
Ahavas Chesed Cemetery,30.6708,-88.0622,,Alabama,United States,cemetery,,,
Ahrensfelde East Churchyard,52.585,13.5731,,Ahrensfelde,Germany,cemetery,,,
Ahwahnee Hotel,37.745744,-119.574186,,Yosemite Village,United States,hotel,,,
Aiboa,43.343889,-3.002778,,Getxo,Spain,landmark,,,
Aiken Colored Cemetery,33.5704,-81.7242,,Aiken,United States,cemetery,,,
Ainola,60.454514,25.08639,,Järvenpää,Finland,landmark,,,
Ak Bars Arena,55.821,49.161,,,,stadium,,,
Akhisar Stadium,38.9209,27.8118,,Akhisar,Turkey,stadium,,,
Akita Museum of Art,39.71742778,140.1215,,Akita,Japan,museum,,,
Akureyrarkirkja,65.67984,-18.09097,,Akureyri,Iceland,landmark,,,
Al Bahr Towers,24.456611111,54.400861111,,Abu Dhabi,United Arab Emirates,landmark,,,
Al Faisaliah Centre,24.690277777,46.685277777,,Riyadh,Saudi Arabia,landmark,,,
Al Hamra Tower,29.378611111,47.992777777,,,,landmark,,,
Al Janoub Stadium,25.159777777,51.574083333,,Al Wakrah,Qatar,stadium,,,
Al-Akbar Mosque,-7.336543,112.715243,,Surabaya,Indonesia,temple,,,
Al-Baqi',24.466944444,39.616388888,,Medina,Saudi Arabia,cemetery,,,
Alabama State Capitol,32.377447222,-86.300941666,,Alabama,United States,landmark,,,
Albanifriedhof,51.531938888,9.94195,,Göttingen,Germany,cemetery,,,
Albany Rural Cemetery,42.706667,-73.735556,,Menands,United States,cemetery,,,
Albertina,48.204561111,16.368319444,,,,landmark,,,
Alcázar of Segovia,40.9525,-4.1325,,Segovia,Spain,castle,,,
Aldershot Military Cemetery,51.2553,-0.746944,,Rushmoor,United Kingdom,cemetery,,,
Ale's Stones,55.3827,14.0544,,Ystad Municipality,Sweden,cemetery,,,
Alexa,52.5192,13.4156,,Bezirk Mitte,Germany,landmark,,,
Alexander K. McClure School,40.015,-75.1381,,Philadelphia,United States,university,,,
Alexander Nevsky Cathedral,42.695838888,23.332969444,,,,church,,,
Alexander Nevsky Cathedral,59.435833333,24.739444444,,,,church,,,
"Alexander Nevsky Cathedral, Paris",48.877558333,2.301991666,,Paris,France,church,,,
Alexander Palace,59.721111111,30.392777777,,Pushkin,Russia,castle,,,
Alexeevskoe Cemetery,55.818380555,37.643733333,,Moscow,Russia,cemetery,,,
Alexis Palace,59.928055555,30.283416666,,Saint Petersburg,Russia,castle,,,
Alfonse M. D'Amato United States Courthouse,40.7596,-73.1906,,Central Islip,United States,landmark,,,
Alfred Butters House,39.73433,-104.98135,,Denver,United States,landmark,,,
Alfred H. and Sarah Frahm House,41.45398,-96.02803,,Fort Calhoun,United States,landmark,,,
Algemene Begraafplaats Crooswijk: grafheuvel met kwadrant en rotonde,51.93833,4.48927,,Rotterdam,Netherlands,cemetery,,,
Algemene Begraafplaats Hofwijk,51.95778,4.4,,Rotterdam,Netherlands,cemetery,,,
Algemene Begraafplaats Leidsestraatweg,52.09277,4.95215,,Woerden,Netherlands,cemetery,,,
Algemene Begraafplaats Meppelerstraatweg,52.518333,6.1075,,Zwolle,Netherlands,cemetery,,,
Algemene Begraafplaats Montfoort,52.043167,4.944911,,Montfoort,Netherlands,cemetery,,,
Algemene Begraafplaats Schoonebeek,52.660297,6.882569,,Emmen,Netherlands,cemetery,,,
Algiers Central Post Office,36.773056,3.059444,,Alger Centre,Algeria,landmark,,,
Algorta,43.350847222,-3.009513888,,Getxo,Spain,landmark,,,
All Saints Church in Hodovytsia,50.2794,24.5394,,Hodovytsia,Ukraine,church,,,
Allegheny Cemetery,40.4725,-79.95,,Pittsburgh,United States,cemetery,,,
Allen Memorial Art Museum,41.2937,-82.2168,,Ohio,United States,museum,,,
"Allerheiligenkirche, Graz",47.0658,15.385,,Graz,Austria,cemetery,,,
Allerton Cemetery,53.35981,-2.87597,,Liverpool,United Kingdom,cemetery,,,
Allery Communal Cemetery,49.958459,1.898982,,Allery,France,cemetery,,,
Alley of Honor,40.361944444,49.820833333,,Baku,Azerbaijan,cemetery,,,
Allianz Arena,48.218775,11.624752777,,Schwabing-Freimann,Germany,stadium,,,
Allianz Riviera,43.70513,7.19262,,,,landmark,,,
