name,latitude,longitude,description,city,country,address
Simmeringer Friedhof,48.170705555,16.423241666,Wikidata: Q2287236,Vienna,Austria,
Simonscher Friedhof,50.2732,10.9618,Wikidata: Q1512763,Coburg,Germany,
Simose Art Museum,34.241275,132.227025,Wikidata: Q132176507,Ōtake-shi,Japan,
Simsbury Bank and Trust Company Building,41.875278,-72.801667,Wikidata: Q7521251,Connecticut,United States,
Singapore Indoor Stadium,1.300555555,103.874444444,Wikidata: Q618988,Kallang,Singapore,
Singer Building (Tehran),35.691611111,51.424055555,Wikidata: Q42707292,District 12,Iran,
Singer House,59.935833333,30.325555555,Wikidata: Q737377,Tsentralny District,Russia,
Sint-Jan Evangelistkerk,51.176494444,4.377911111,Wikidata: Q108667292,Antwerp,Belgium,
Sint-Jozefkapel (Tielrode),51.110635,4.174435,Wikidata: Q2131557,Temse,Belgium,
Sint-Jozefkerk,51.253841666,4.460161111,Wikidata: Q56084866,Antwerp,Belgium,
Sint-Rochuskerk (Saint-Roch),50.731233333,4.243911111,Wikidata: Q124359320,Halle,Belgium,
Site containing at least seven burial mounds in Vijlenerbos,50.7657,5.982,Wikidata: Q17455828,Vaals,Netherlands,
Sittard War Cemetery,50.9891,5.8543,Wikidata: Q2922473,Sittard-Geleen,Netherlands,
six sépultures circulaires sous tertre tumulaire,47.634583,-2.957083,Wikidata: Q22992078,Le Bono,France,
Sixth ENI Office Building,45.422384,9.258486,Wikidata: Q77009188,San Donato Milanese,Italy,
Skelhøj,55.41270146,8.870961538,Wikidata: Q7534453,Vejen Municipality,Denmark,
Skogskyrkogården,59.275555555,18.099444444,Wikidata: Q213988,Stockholm,Sweden,
Skopje Train Station,41.9912,21.4459,Wikidata: Q3097759,Centar Municipality,North Macedonia,
Slávičie údolie cemetery,48.156262,17.068139,Wikidata: Q1164326,Karlova Ves,Slovakia,
Slavín,48.153888888,17.099722222,Wikidata: Q1553111,Bratislava,Slovakia,
Slavonski Brod Synagogue,45.155426,18.01263,Wikidata: Q7539504,Slavonski Brod,Croatia,
Sleep Train Pavilion,37.9597,-121.946,Wikidata: Q7539731,Concord,United States,
Sleepy Hollow Cemetery,41.096944444,-73.860277777,Wikidata: Q360779,Sleepy Hollow,United States,
Sleepy Hollow Cemetery,42.4633,-71.3444,Wikidata: Q2972565,Concord,United States,
Smith Tower,47.601925,-122.331730555,Wikidata: Q1196348,Seattle,United States,
Smolensk Armenian cemetery,59.948333333,30.253611111,Wikidata: Q4424992,Saint Petersburg,Russia,
